FF7 Decompilation Dependency Report
Generated: 2026-04-11 14:18:34
Total functions in call graph: 3382

========================================================================
SECTION 1 – DECOMPILED  (1421 functions)
  Total: 1421 functions
========================================================================
  [sdk_excluded]  (333 functions)
  Function                                  Dependents     Calls
  ----------------------------------------  ----------  --------
  func_800A7EA4                                      1         3
  func_800A7F18                                      1         1
  func_800A806C                                      1        18
  func_800A8300                                      1         0
  func_800A835C                                      1         0
  func_800A8600                                      1         0
  func_800A8620                                      1         0
  func_800A86C4                                      1         1
  func_800A886C                                      1         0
  func_800A8888                                      1         0
  func_800A8898                                      1         0
  func_800A891C                                      1         2
  func_800A8A88                                      1         0
  func_800A8C70                                      1         0
  func_800A8CA4                                      1         0
  func_800A8CE4                                      1         0
  func_800A8D58                                      1         1
  func_800A8E50                                      1         0
  func_800A8F48                                      1         0
  func_800A9018                                      1         1
  func_800A9064                                      1         0
  func_800A9134                                      1         0
  func_800A9194                                      1         0
  func_800A929C                                      1         0
  func_800A94F4                                      1         0
  func_800A9678                                      1         1
  func_800A96D0                                      1         0
  func_800A97E4                                      1         0
  func_800A9820                                      1         0
  func_800A984C                                      1         0
  func_800A9878                                      1         0
  func_800A9AA4                                      1         0
  func_800A9D88                                      1         1
  func_800A9E14                                      1         2
  func_800AA04C                                      1         0
  func_800AA128                                      1         0
  func_800AA2B8                                      1         0
  func_800AA580                                      1         2
  func_800AA640                                      1         2
  func_800AA6A4                                      1         0
  func_800AA738                                      1         0
  func_800AAA00                                      1         1
  func_800AAB18                                      1        12
  func_800AB2B4                                      1         0
  func_800AB308                                      1         0
  func_800AB310                                      1         0
  func_800AB36C                                      1         0
  func_800AB398                                      1         3
  func_800AB480                                      1         1
  func_800AB48C                                      1         0
  func_800AB4F4                                      1         1
  func_800AB570                                      1         2
  func_800AB5E4                                      1         0
  func_800AB674                                      1         0
  func_800AB788                                      1         2
  func_800AB92C                                      1         1
  func_800AB9C8                                      1         0
  func_800ABA34                                      1         0
  func_800ABA78                                      1         2
  func_800ABE58                                      1         1
  func_800ABF0C                                      1         6
  func_800ABFC0                                      1         8
  func_800AC3C0                                      1         1
  func_800AC484                                      1         4
  func_800AC6B4                                      1         1
  func_800AC700                                      1        72
  func_800ACA4C                                      1         0
  func_800ACB98                                      1         0
  func_800ACD88                                      1         0
  func_800ACE88                                      1         0
  func_800AD088                                      1         1
  func_800AD420                                      1         0
  func_800AD480                                      1         0
  func_800AD5E8                                      1         0
  func_800AD63C                                      1         8
  func_800AD788                                      1         1
  func_800AD804                                      1         4
  func_800AD928                                      1         0
  func_800ADA08                                      1         1
  func_800ADA64                                      1         0
  func_800ADB30                                      1         0
  func_800ADC3C                                      1         0
  func_800ADC70                                      1         0
  func_800AE5B8                                      1         1
  func_800AE5F0                                      1         1
  func_800AE628                                      1         0
  func_800AE638                                      1         8
  func_800AE82C                                      1         1
  func_800AE8AC                                      1         1
  func_800AEA48                                      1         8
  func_800AEB80                                      1         2
  func_800AF0A0                                      1         0
  func_800AF0B0                                      1         1
  func_800AF0C4                                      1         0
  func_800AF1E8                                      1         0
  func_800AF24C                                      1         0
  func_800AF2A4                                      1         0
  func_800AF324                                      1         0
  func_800AF364                                      1         0
  func_800AF3A4                                      1         5
  func_800AF65C                                      1         0
  func_800AF834                                      1         0
  func_800AF9C8                                      1         3
  func_800AFCC8                                      1         5
  func_800AFDE4                                      1         0
  func_800AFECC                                      1         0
  func_800B0170                                      1         0
  func_800B017C                                      1         0
  func_800B01C4                                      1         0
  func_800B0200                                      1         1
  func_800B0234                                      1         0
  func_800B0250                                      1         3
  func_800B0334                                      1         4
  func_800B04AC                                      1         1
  func_800B0670                                      1         1
  func_800B075C                                      1         1
  func_800B0810                                      1         6
  func_800B0B94                                      1         0
  func_800B0BF4                                      1         5
  func_800B0C14                                      1         0
  func_800B0D98                                      1         3
  func_800B0E84                                      1         9
  func_800B0F04                                      1         1
  func_800B104C                                      1         0
  func_800B10B4                                      1         0
  func_800B10F0                                      1         3
  func_800B1368                                      1         0
  func_800B13B0                                      1         0
  func_800B141C                                      1         0
  func_800B1624                                      1         0
  func_800B16D0                                      1         1
  func_800B17F0                                      1         0
  func_800B1A5C                                      1         1
  func_800B1AA0                                      1         0
  func_800B1B64                                      1         0
  func_800B1C1C                                      1         0
  func_800B1C80                                      1         3
  func_800B1C94                                      1         0
  func_800B21E4                                      1         2
  func_800B28CC                                      1         8
  func_800B29CC                                      1        11
  func_800B2CFC                                      1         2
  func_800B2E90                                      1         8
  func_800B2F70                                      1         0
  func_800B2FA4                                      1         0
  func_800B3030                                      1         0
  func_800B3044                                      1         0
  func_800B307C                                      1        13
  func_800B3300                                      1         0
  func_800B3350                                      1         0
  func_800B3418                                      1        12
  func_800B37E0                                      1         0
  func_800B3828                                      1         6
  func_800B392C                                      1         0
  func_800B3C40                                      1         4
  func_800B3FAC                                      1         0
  func_800B40B4                                      1         9
  func_800B4244                                      1         1
  func_800B45DC                                      1        14
  func_800B579C                                      1         0
  func_800B57C0                                      1         0
  func_800B57DC                                      1         5
  func_800B58F8                                      1         1
  func_800B5E28                                      1         9
  func_800B60E0                                      1         0
  func_800B6348                                      1         0
  func_800B64A0                                      1         1
  func_800B64D8                                      1         1
  func_800B650C                                      1         0
  func_800B65A4                                      1         1
  func_800B667C                                      1         0
  func_800B69A4                                      1         3
  func_800B69C0                                      1         1
  func_800B6B28                                      1         2
  func_800B6D10                                      1         1
  func_800B6E08                                      1         0
  func_800B6E78                                      1         4
  func_800B7104                                      1         1
  func_800B717C                                      1         0
  func_800B7228                                      1        14
  func_800B7620                                      1         1
  func_800B76A8                                      1         4
  func_800B77A8                                      1         1
  func_800B77F4                                      1         0
  func_800B7820                                      1         0
  func_800B7838                                      1         0
  func_800B785C                                      1         0
  func_800B786C                                      1         0
  func_800B7A40                                      1         4
  func_800B7AC0                                      1         0
  func_800B7B1C                                      1         0
  func_800B7B3C                                      1         0
  func_800B7B54                                      1         0
  func_800B7B78                                      1         0
  func_800B7BA0                                      1         0
  func_800B7BC0                                      1         0
  func_800B7BD8                                      1         0
  func_800B7C1C                                      1         1
  func_800B7C7C                                      1        17
  func_800B832C                                      1        11
  func_800B8488                                      1         1
  func_800B84D8                                      1         1
  func_800B851C                                      1         1
  func_800B858C                                      1         1
  func_800B86E8                                      1         1
  func_800B8720                                      1         1
  func_800B8760                                      1         1
  func_800B87D8                                      1         1
  func_800B8944                                      1         2
  func_800B89C4                                      1         0
  func_800B8A34                                      1         0
  func_800B8A5C                                      1         0
  func_800B8B00                                      1         0
  func_800B95E8                                      1         0
  func_800BA11C                                      1         0
  func_800BA24C                                      1         0
  func_800BA2BC                                      1         0
  func_800BA360                                      1         0
  func_800BAE60                                      1         0
  func_800BB1B4                                      1         0
  func_800BB350                                      1         0
  func_800BB430                                      1         0
  func_800BB450                                      1         0
  func_800BB4F8                                      1         0
  func_800BB568                                      1         0
  func_800BB8B0                                      1         0
  func_800BB8E8                                      1         7
  func_800BB9D0                                      1         0
  func_800BBA44                                      1         0
  func_800BBBB0                                      1         3
  func_800BC1CC                                      1         2
  func_800BC338                                      1         1
  func_800BC420                                      1        13
  func_800BC438                                      1         0
  func_800BC630                                      1         0
  func_800BCA48                                      1         0
  func_800BCA78                                      1         0
  func_800BCB2C                                      1         0
  func_800BCBE8                                      1         0
  func_800BCECC                                      1         0
  func_800BFCAC                                      1         1
  func_800C0254                                      1         3
  func_800C0314                                      1         0
  func_800C1394                                      1         3
  func_800C1D58                                      1         2
  func_800C1FD8                                      1         0
  func_800C2130                                      1         0
  func_800C2150                                      1         0
  func_800C2864                                      1         0
  func_800C2C1C                                      1         0
  func_800C31F0                                      1         1
  func_800C3948                                      1         0
  func_800C3AA0                                      1         0
  func_800C45EC                                      1         0
  func_800C5864                                      1         0
  func_800C6104                                      1         0
  func_800C76C8                                      1         1
  func_800CD860                                      1         3
  func_800D0958                                      1         0
  func_800D32B4                                      1         0
  func_800D3354                                      1         0
  func_800D3418                                      1         0
  func_800D3474                                      1         0
  func_800D348C                                      1         0
  func_800D3548                                      1         2
  func_800D3A6C                                      1         2
  func_800D415C                                      1         1
  func_800D41FC                                      1         3
  func_800D4284                                      1         4
  func_800D48C0                                      1         0
  func_800D4BC0                                      1         0
  func_800D4E24                                      1         0
  func_800D4E88                                      1         0
  func_800D4FF0                                      1         0
  func_800D5228                                      1         0
  func_800D61AC                                      1         2
  func_800D6260                                      1         0
  func_800D6394                                      1         4
  func_800D726C                                      1         0
  func_800D7A58                                      1         0
  func_800D7B1C                                      1         0
  func_800D7BA4                                      1         0
  func_800D7C98                                      1         0
  func_800D828C                                      1         0
  func_800D8304                                      1         0
  func_800D83A4                                      1         0
  func_800D85C0                                      1         0
  func_800D8B60                                      1         0
  func_800DA194                                      1         0
  func_800DA1D4                                      1         0
  func_800DA2CC                                      1         0
  func_800DBF8C                                      1         0
  func_800DC0CC                                      1        12
  func_800DDFEC                                      1         0
  func_800E08C4                                      1         0
  func_800E0BE0                                      1         0
  func_800E0E34                                      1         9
  func_800E1A2C                                      1         0
  func_800E1AC0                                      1         0
  func_800E60F8                                      1         0
  func_800E68B4                                      1         0
  func_800E7170                                      1         4
  func_801D027C                                      1         0
  memchr                                             1         0
  memmove                                            1         0
  memset                                             1         0
  strcmp                                             1         0
  strlen                                             1         0
  AddPrims                                           0         0
  CatPrim                                            0         0
  ChangeClearSIO                                     0         0
  DecDCTBufSize                                      0         0
  DecDCTinSync                                       0         1
  DecDCToutSync                                      0         1
  DrawPrim                                           0         0
  GetDrawEnv                                         0         1
  InitCARD                                           0         6
  InitHeap                                           0         0
  IsEndPrim                                          0         0
  LoadClut                                           0         2
  LoadTPage                                          0         2
  NextPrim                                           0         0
  OpenTMD                                            0         1
  ReadTMD                                            0         1
  RestartCallback                                    0         0
  SetData32                                          0         0
  SetDrawArea                                        0         2
  SetDrawOffset                                      0         1
  SetIR0                                             0         0
  SetLineF3                                          0         0
  SetLineF4                                          0         0
  SetLineG2                                          0         0
  SetLineG3                                          0         0
  SetLineG4                                          0         0
  SetPolyF3                                          0         0
  SetPolyF4                                          0         0
  SetPolyFT3                                         0         0
  SetPolyG3                                          0         0
  SetPolyGT3                                         0         0
  SetPolyGT4                                         0         0
  SetSp                                              0         0
  SetSprt                                            0         0
  SetSprt16                                          0         0
  SetSprt8                                           0         0
  SetTile16                                          0         0
  SetTile8                                           0         0
  SetVertex0                                         0         0
  SetVertex1                                         0         0
  SetVertex2                                         0         0
  SetVideoMode                                       0         0
  StartCARD                                          0         4
  SystemError                                        0         0
  TermPrim                                           0         0
  TestEvent                                          0         0
  __SN_ENTRY_POINT                                   0         0
  _bu_init                                           0         0
  bcopy                                              0         0
  func_8001155C                                      0         4
  func_800129D0                                      0         2
  func_80014804                                      0         5
  func_800155B0                                      0         2
  func_8001FAF8                                      0         0
  func_800211B8                                      0         0
  func_80023AC4                                      0         0
  func_800256DC                                      0         0
  func_80025ED4                                      0         3
  func_800269D0                                      0         0
  func_800269E8                                      0         0
  func_80026A0C                                      0         0
  func_80026A20                                      0         0
  func_80026B64                                      0         0
  func_80027990                                      0         1
  func_800293D0                                      0         1
  func_8002BB20                                      0         1
  func_8002BE2C                                      0         1
  func_8002C0CC                                      0         1
  func_8002C12C                                      0         1
  func_8002C408                                      0         1
  func_8002C7E8                                      0         2
  func_8002C81C                                      0         2
  func_8002C850                                      0         2
  func_8002CA84                                      0         1
  func_8002CEC0                                      0         2
  func_8002CF1C                                      0         2
  func_8002CF78                                      0         1
  func_8002DF88                                      0         0
  func_80031BE4                                      0         0
  func_80032718                                      0         0
  func_8003345C                                      0         0
  func_80034410                                      0         0
  func_80034430                                      0         0
  func_8003447C                                      0         1
  func_800345BC                                      0         1
  func_800347B4                                      0         1
  func_800347F8                                      0         5
  func_80035D64                                      0         2
  func_80036038                                      0         3
  func_80036190                                      0         2
  func_800425F8                                      0         0
  func_800A0E68                                      0         4
  func_800A0F90                                      0         2
  func_800A1F48                                      0         1
  func_800A22E4                                      0         0
  func_800A2420                                      0         0
  func_800A2E80                                      0         6
  func_800A40F0                                      0         0
  func_800A5924                                      0         1
  func_800A6C00                                      0         2
  func_800A6C04                                      0         2
  func_800A76CC                                      0         1
  func_800A8424                                      0         3
  func_800A8A6C                                      0         4
  func_800A91E0                                      0         0
  func_800A96A4                                      0         1
  func_800A9988                                      0         0
  func_800AA468                                      0         2
  func_800AA684                                      0         0
  func_800AA688                                      0         0
  func_800ADD2C                                      0         0
  func_800ADF38                                      0         1
  func_800AE080                                      0         2
  func_800AEF68                                      0         3
  func_800AF3AC                                      0         2
  func_800B062C                                      0         2
  func_800B089C                                      0         0
  func_800B0910                                      0         2
  func_800B11C4                                      0         0
  func_800B1650                                      0         1
  func_800B2304                                      0         2
  func_800B2EBC                                      0         0
  func_800B4794                                      0         5
  func_800B6A4C                                      0         3
  func_800B6C84                                      0         5
  func_800B6DCC                                      0         2
  func_800B7134                                      0         1
  func_800B7DB4                                      0         0
  func_800B8A98                                      0         0
  func_800B8CBC                                      0         0
  func_800B8D20                                      0         0
  func_800B8E48                                      0         0
  func_800BB650                                      0         2
  func_800BB7DC                                      0         2
  func_800BFB88                                      0         2
  func_800C02F4                                      0         1
  func_800C0DE0                                      0         3
  func_800C3068                                      0         1
  func_800C32CC                                      0         2
  func_800C36B4                                      0         1
  func_800C3CA8                                      0         3
  func_800C3DE4                                      0         1
  func_800C43C4                                      0         1
  func_800C4814                                      0         3
  func_800C4AE8                                      0         4
  func_800C4CE8                                      0         3
  func_800C5740                                      0         1
  func_800C64D4                                      0         0
  func_800C6628                                      0         0
  func_800C7340                                      0         4
  func_800C7C4C                                      0        49
  func_800CB450                                      0         2
  func_800CB660                                      0         2
  func_800CC284                                      0         3
  func_800CC404                                      0         3
  func_800CC70C                                      0         3
  func_800CC944                                      0         2
  func_800CCA68                                      0         2
  func_800CD0C4                                      0         1
  func_800CD16C                                      0         2
  func_800CD214                                      0         2
  func_800CD6B0                                      0         2
  func_800CEB94                                      0         1
  func_800CF874                                      0         2
  func_800CFC1C                                      0         1
  func_800D09D0                                      0         0
  func_800D298C                                      0         3
  func_800D3BF0                                      0         4
  func_800D3E64                                      0         2
  func_800D4160                                      0         1
  func_800D4378                                      0         1
  func_800D4420                                      0         1
  func_800D44E8                                      0         3
  func_800D491C                                      0         1
  func_800D51D4                                      0         0
  func_800D5230                                      0         0
  func_800D5774                                      0         1
  func_800D5B6C                                      0         4
  func_800D6998                                      0         3
  func_800D6ACC                                      0         2
  func_800D6D8C                                      0         6
  func_800D70C0                                      0         1
  func_800D7368                                      0         7
  func_800D7724                                      0         7
  func_800D7888                                      0         6
  func_800D8468                                      0         0
  func_800D84F8                                      0         1
  func_800D87EC                                      0         1
  func_800DCFD4                                      0         3
  func_800DDCE8                                      0         8
  func_800DEC10                                      0         6
  func_800E1C40                                      0         0
  func_800E2098                                      0        11
  func_800E5530                                      0         5
  func_801D1F40                                      0         4
  main                                               0        59
  rand                                               0         0
  sprintf                                            0         3
  srand                                              0         0

========================================================================
SECTION 2 – NOT YET DECOMPILED  (737 functions)
  Total: 737 functions
========================================================================
  [blocked]  (640 functions)
  Function                                  Dependents     Calls
  ----------------------------------------  ----------  --------
  func_800A4F60                                      9         2
  func_800BBEAC                                      7         4
  func_8002E23C                                      6         9
  func_800C33B4                                      6         3
  func_800D3994                                      6         2
  func_80029A50                                      5         7
  func_8002C2CC                                      5         0
  func_8002C300                                      5         0
  func_80034104                                      5         2
  func_800D9E0C                                      5         0
  func_80017108                                      4         1
  func_80020058                                      4         8
  func_80028484                                      4         3
  func_80031820                                      4         0
  func_800A2FD0                                      4         1
  func_800A8E34                                      4         0
  func_800A9334                                      4         4
  func_800A9CE8                                      4         0
  func_800BC11C                                      4         4
  func_800C4BCC                                      4         3
  func_800CDC14                                      4         0
  func_800DA444                                      4         0
  func_80027408                                      3         2
  func_80029424                                      3         2
  func_80029C48                                      3         4
  func_80029E98                                      3         0
  func_80034350                                      3         5
  func_80035658                                      3         5
  func_800A3178                                      3         0
  func_800A343C                                      3         0
  func_800A34C4                                      3         1
  func_800A6994                                      3         2
  func_800A72C8                                      3         1
  func_800A8DF4                                      3         0
  func_800AE4DC                                      3         0
  func_800AF110                                      3         5
  func_800B1C7C                                      3         1
  func_800B5C1C                                      3         2
  func_800BB538                                      3         2
  func_800BFBF0                                      3         2
  func_800C2E00                                      3         1
  func_800D0B4C                                      3         2
  func_800DA424                                      3         0
  func_800E368C                                      3         5
  func_80013C9C                                      2         9
  func_80018630                                      2         2
  func_80018934                                      2         1
  func_8001F1BC                                      2        11
  func_80026A94                                      2         3
  func_80027B84                                      2         2
  func_80028030                                      2         1
  func_800293F4                                      2         1
  func_80029BAC                                      2         1
  func_80029F44                                      2         0
  func_8002A43C                                      2         0
  func_8002AABC                                      2         3
  func_8002AFB8                                      2         0
  func_8002CFC0                                      2        11
  func_80033894                                      2         3
  func_80034D2C                                      2         0
  func_80034F5C                                      2         4
  func_80035DC8                                      2         1
  func_80036244                                      2         0
  func_80036298                                      2         1
  func_800A2888                                      2         5
  func_800A3D4C                                      2         0
  func_800A3F4C                                      2         3
  func_800A41CC                                      2         6
  func_800A4BA4                                      2         0
  func_800A6168                                      2         6
  func_800A61D4                                      2         3
  func_800A8B30                                      2         2
  func_800AA514                                      2         0
  func_800AE6C0                                      2         1
  func_800AEE24                                      2         0
  func_800B0EDC                                      2         1
  func_800B271C                                      2         4
  func_800B2B5C                                      2         2
  func_800B2DD4                                      2         1
  func_800B5CD4                                      2         1
  func_800B5D38                                      2         2
  func_800B787C                                      2         1
  func_800B9B2C                                      2         6
  func_800BBF7C                                      2         4
  func_800C0808                                      2         1
  func_800C2450                                      2         1
  func_800C24A8                                      2         2
  func_800C2970                                      2         2
  func_800C5B38                                      2         0
  func_800C614C                                      2         2
  func_800C7D5C                                      2         0
  func_800C8634                                      2         1
  func_800D1200                                      2         1
  func_800D1350                                      2         1
  func_800D152C                                      2         1
  func_800D3F0C                                      2         1
  func_800D4D90                                      2         0
  func_800D6840                                      2         4
  func_800112E8                                      1         4
  func_80018390                                      1         2
  func_8001840C                                      1         3
  func_80018A04                                      1         1
  func_80018BB8                                      1         2
  func_80019D1C                                      1         2
  func_80019F90                                      1         3
  func_8001A174                                      1         2
  func_8001A5B4                                      1         5
  func_8001A874                                      1         1
  func_8001B570                                      1         0
  func_8001BDB0                                      1         2
  func_8001F710                                      1         9
  func_800212A8                                      1        13
  func_80021C4C                                      1         7
  func_80021D5C                                      1         8
  func_80021E70                                      1         5
  func_800294BC                                      1         2
  func_800297A4                                      1         3
  func_80029818                                      1         3
  func_800299C8                                      1         8
  func_8002A28C                                      1         4
  func_8002B2F8                                      1         5
  func_8002E478                                      1         2
  func_8002E954                                      1         2
  func_8002ED34                                      1         0
  func_8002F24C                                      1         0
  func_8002F738                                      1         1
  func_80030E7C                                      1         1
  func_80032ABC                                      1         1
  func_80032BB4                                      1         1
  func_80032E6C                                      1         0
  func_80032ED0                                      1         0
  func_80034F3C                                      1         1
  func_80034FC8                                      1         8
  func_800354CC                                      1         4
  func_80035CF0                                      1         3
  func_80035F14                                      1         3
  func_80036100                                      1         0
  func_800A0030                                      1        19
  func_800A0534                                      1         1
  func_800A05D4                                      1         1
  func_800A0C58                                      1        25
  func_800A1368                                      1         3
  func_800A14D8                                      1         2
  func_800A2934                                      1         0
  func_800A2A2C                                      1         1
  func_800A2D5C                                      1         3
  func_800A2F1C                                      1         6
  func_800A3020                                      1         5
  func_800A311C                                      1         0
  func_800A3208                                      1         0
  func_800A3368                                      1         1
  func_800A3488                                      1         0
  func_800A34CC                                      1         0
  func_800A35F8                                      1         9
  func_800A364C                                      1         0
  func_800A36AC                                      1         8
  func_800A379C                                      1         1
  func_800A424C                                      1         1
  func_800A50E0                                      1         0
  func_800A5250                                      1         1
  func_800A5AC8                                      1         0
  func_800A6418                                      1         0
  func_800A6FC0                                      1         3
  func_800A82A0                                      1         0
  func_800A8304                                      1         1
  func_800A8858                                      1         1
  func_800A9B64                                      1         0
  func_800A9EEC                                      1         2
  func_800AA180                                      1         1
  func_800AA304                                      1         0
  func_800AA6D0                                      1         5
  func_800AA870                                      1         1
  func_800AA950                                      1         3
  func_800AB4AC                                      1         4
  func_800AB5E8                                      1         6
  func_800AB728                                      1         0
  func_800AB830                                      1         4
  func_800ABA70                                      1         4
  func_800ABFE8                                      1         6
  func_800AC73C                                      1         4
  func_800ACBA0                                      1         2
  func_800ACC5C                                      1         1
  func_800AD7B8                                      1         1
  func_800AD858                                      1         2
  func_800AD970                                      1         0
  func_800ADAA4                                      1         0
  func_800ADC90                                      1         3
  func_800ADD70                                      1         2
  func_800ADEA8                                      1         1
  func_800AE23C                                      1         1
  func_800AE764                                      1         1
  func_800AF6EC                                      1         2
  func_800AF9DC                                      1         2
  func_800AFAC4                                      1         0
  func_800AFE1C                                      1         1
  func_800B0618                                      1         1
  func_800B0A48                                      1         0
  func_800B0FB0                                      1         0
  func_800B153C                                      1         1
  func_800B1E40                                      1         1
  func_800B2598                                      1         0
  func_800B2F40                                      1         0
  func_800B38E0                                      1         2
  func_800B5138                                      1         1
  func_800B5260                                      1         1
  func_800B5504                                      1         2
  func_800B5C7C                                      1         3
  func_800B85D4                                      1         5
  func_800B8CF0                                      1         0
  func_800BA7C4                                      1         0
  func_800BACEC                                      1         0
  func_800BAF54                                      1         4
  func_800BBBCC                                      1         0
  func_800BBF74                                      1         3
  func_800BE69C                                      1         3
  func_800BE86C                                      1         3
  func_800C08A8                                      1         1
  func_800C0B48                                      1         0
  func_800C14C0                                      1         4
  func_800C1D8C                                      1         6
  func_800C2524                                      1         0
  func_800C3DB0                                      1         0
  func_800C4FB4                                      1         0
  func_800C5CD4                                      1         1
  func_800C6598                                      1         0
  func_800CB354                                      1         2
  func_800D34C8                                      1         0
  func_800D4368                                      1         4
  func_800D493C                                      1         1
  func_800D4C08                                      1         1
  func_800D4C68                                      1         1
  func_800D775C                                      1         0
  func_800D785C                                      1         0
  func_800D7970                                      1         0
  func_800D7D6C                                      1         2
  func_800D7F9C                                      1         7
  func_800D8710                                      1         1
  func_800D91DC                                      1         9
  func_800D9C04                                      1         0
  func_800E6DCC                                      1         0
  func_8001726C                                      0         4
  func_800206E4                                      0         6
  func_80022DE4                                      0         4
  func_80029464                                      0         2
  func_8002B5A8                                      0         2
  func_8002B608                                      0         2
  func_8002B668                                      0         2
  func_8002B6AC                                      0         3
  func_8002B730                                      0         4
  func_8002B7E0                                      0         4
  func_8002B8B4                                      0         3
  func_8002B904                                      0         3
  func_8002B958                                      0         3
  func_8002B9AC                                      0         4
  func_8002BA08                                      0         3
  func_8002BA5C                                      0         1
  func_8002BA98                                      0         1
  func_8002BBB4                                      0         1
  func_8002BBEC                                      0         0
  func_8002BC58                                      0         0
  func_8002C5C8                                      0         0
  func_8002C634                                      0         0
  func_8002C6C8                                      0         0
  func_8002C734                                      0         0
  func_8002C884                                      0         0
  func_8002C8C4                                      0         0
  func_8002C9E4                                      0         3
  func_8002CB78                                      0         3
  func_8002CC18                                      0         0
  func_8002CC44                                      0         1
  func_8002CCDC                                      0         4
  func_8002CDD0                                      0         3
  func_8002D410                                      0         5
  func_8002D4A0                                      0         5
  func_8002D530                                      0         5
  func_8002D668                                      0         5
  func_8002D7A0                                      0         6
  func_8002D8E8                                      0         6
  func_80030234                                      0         3
  func_80031AB0                                      0         0
  func_80031AFC                                      0         0
  func_80031BA0                                      0         0
  func_80031CB0                                      0         0
  func_80031CE0                                      0         0
  func_80031D6C                                      0         1
  func_80031E98                                      0         0
  func_80031EEC                                      0         0
  func_80031F30                                      0         0
  func_80031FF0                                      0         0
  func_800320C4                                      0         1
  func_80032274                                      0         0
  func_800323CC                                      0         0
  func_8003252C                                      0         0
  func_8003257C                                      0         0
  func_80032614                                      0         0
  func_80032770                                      0         0
  func_80032804                                      0         0
  func_800328F8                                      0         0
  func_8003298C                                      0         0
  func_80032A28                                      0         0
  func_80032C8C                                      0         1
  func_80032D6C                                      0         0
  func_80032E08                                      0         0
  func_80032F34                                      0         0
  func_80032F98                                      0         0
  func_80032FFC                                      0         0
  func_80033060                                      0         0
  func_800330C4                                      0         0
  func_80033128                                      0         0
  func_800331CC                                      0         0
  func_80033224                                      0         0
  func_80033264                                      0         0
  func_800332EC                                      0         0
  func_8003337C                                      0         0
  func_80033420                                      0         0
  func_800344C0                                      0         5
  func_80034600                                      0         5
  func_800346F8                                      0         2
  func_80034754                                      0         2
  func_800348F4                                      0         2
  func_80034974                                      0         4
  func_80034E00                                      0         1
  func_80035430                                      0         1
  func_800A09DC                                      0         3
  func_800A0AB8                                      0         1
  func_800A0BA8                                      0         1
  func_800A0CAC                                      0         0
  func_800A11B4                                      0         1
  func_800A139C                                      0         1
  func_800A14BC                                      0         1
  func_800A16E4                                      0         0
  func_800A1FC8                                      0         2
  func_800A2014                                      0         4
  func_800A208C                                      0         1
  func_800A20F8                                      0         2
  func_800A2328                                      0         2
  func_800A2458                                      0         7
  func_800A24A8                                      0         3
  func_800A2C68                                      0         1
  func_800A2FB8                                      0         1
  func_800A32D8                                      0         0
  func_800A555C                                      0         0
  func_800A66A4                                      0         3
  func_800A6BCC                                      0         1
  func_800A784C                                      0         0
  func_800A79CC                                      0         8
  func_800A80DC                                      0         3
  func_800A81B8                                      0         2
  func_800A853C                                      0         1
  func_800AEC10                                      0         7
  func_800AF1D4                                      0         2
  func_800B0378                                      0         7
  func_800B2A00                                      0         0
  func_800B37A0                                      0         1
  func_800B383C                                      0         5
  func_800B480C                                      0         1
  func_800B4B04                                      0         1
  func_800B4EAC                                      0         1
  func_800B5274                                      0         2
  func_800B62C4                                      0         2
  func_800B6AE4                                      0         0
  func_800B6B4C                                      0         4
  func_800B6B98                                      0         0
  func_800B8360                                      0         2
  func_800B86D8                                      0         1
  func_800B91CC                                      0         5
  func_800B9568                                      0         8
  func_800BB2A8                                      0         2
  func_800BC81C                                      0         3
  func_800C0480                                      0         2
  func_800C0630                                      0         1
  func_800C0970                                      0         2
  func_800C0B20                                      0         1
  func_800C0B54                                      0         5
  func_800C0C18                                      0         2
  func_800C0E5C                                      0         3
  func_800C0EDC                                      0         3
  func_800C0F58                                      0         3
  func_800C0FD8                                      0         3
  func_800C107C                                      0         3
  func_800C1214                                      0         3
  func_800C13B0                                      0         4
  func_800C1674                                      0         3
  func_800C1714                                      0         3
  func_800C17B8                                      0         3
  func_800C1858                                      0         2
  func_800C1AB4                                      0         2
  func_800C1BF4                                      0         1
  func_800C1D24                                      0         1
  func_800C1DE4                                      0         3
  func_800C1EEC                                      0         3
  func_800C223C                                      0         6
  func_800C228C                                      0         3
  func_800C2394                                      0         3
  func_800C2704                                      0         3
  func_800C2754                                      0         3
  func_800C285C                                      0         3
  func_800C2928                                      0         5
  func_800C2BFC                                      0         2
  func_800C2CA8                                      0         2
  func_800C2D54                                      0         2
  func_800C2F7C                                      0         2
  func_800C2FFC                                      0         2
  func_800C307C                                      0         2
  func_800C30FC                                      0         2
  func_800C31E4                                      0         2
  func_800C3A20                                      0         2
  func_800C3C34                                      0         2
  func_800C3EA0                                      0         1
  func_800C3F1C                                      0         1
  func_800C3FA0                                      0         1
  func_800C401C                                      0         1
  func_800C40A4                                      0         2
  func_800C42B0                                      0         1
  func_800C4350                                      0         1
  func_800C45AC                                      0         3
  func_800C46D0                                      0         5
  func_800C4804                                      0         4
  func_800C493C                                      0         5
  func_800C494C                                      0         2
  func_800C49EC                                      0         3
  func_800C4A40                                      0         3
  func_800C4A94                                      0         3
  func_800C4DC8                                      0         3
  func_800C4DE8                                      0         3
  func_800C4EE8                                      0         3
  func_800C506C                                      0         1
  func_800C50EC                                      0         1
  func_800C5194                                      0         1
