FF7 Decompilation Dependency Report
Generated: 2026-04-11 14:18:34
Total functions in call graph: 3382

========================================================================
SECTION 1 – DECOMPILED  (1421 functions)
  Total: 1421 functions
========================================================================
  [sdk_excluded]  (333 functions)
  Function                                  Dependents     Calls
  ----------------------------------------  ----------  --------
  LocalLight                                         0         0
  MargePrim                                          0         0
  MatrixNormal                                       0         1
  MulMatrix                                          0         0
  MulMatrix0                                         0         0
  MulMatrix2                                         0         0
  MulRotMatrix                                       0         0
  MulRotMatrix0                                      0         0
  NormalColor                                        0         0
  NormalColor3                                       0         0
  NormalColorCol                                     0         0
  NormalColorCol3                                    0         0
  NormalColorDpq                                     0         0
  NormalColorDpq3                                    0         0
  OuterProduct0                                      0         0
  OuterProduct12                                     0         0
  PadInit                                            0         3
  PadRead                                            0         1
  PadStop                                            0         1
  PopMatrix                                          0         1
  PushMatrix                                         0         1
  ReadColorMatrix                                    0         0
  ReadGeomOffset                                     0         0
  ReadGeomScreen                                     0         0
  ReadLZC                                            0         0
  ReadLightMatrix                                    0         0
  ReadOTZ                                            0         0
  ReadRotMatrix                                      0         0
  ResetRCnt                                          0         0
  RotAverage3                                        0         0
  RotAverage4                                        0         0
  RotAverageNclip3                                   0         0
  RotAverageNclip4                                   0         0
  RotMatrixX                                         0         0
  RotMatrixY                                         0         0
  RotMatrixYXZ                                       0         0
  RotMatrixZ                                         0         0
  RotMatrixZYX                                       0         0
  RotTrans                                           0         0
  RotTransPers3                                      0         0
  RotTransPers4                                      0         0
  RotTransSV                                         0         0
  ScaleMatrixL                                       0         0
  SetBackColor                                       0         0
  SetBlockFill                                       0         0
  SetColorMatrix                                     0         0
  SetDrawMove                                        0         0
  SetFarColor                                        0         0
  SetFogNearFar                                      0         2
  SetGraphQueue                                      0         1
  SetGraphReverse                                    0         0
  SetIR123                                           0         0
  SetLightMatrix                                     0         0
  SetMAC123                                          0         0
  SetMulMatrix                                       0         0
  SetPriority                                        0         0
  SetRGBfifo                                         0         0
  SetRii                                             0         0
  SetSXSYfifo                                        0         0
  SetSZfifo4                                         0         0
  SetTexWindow                                       0         1
  SetVertexTri                                       0         0
  Square0                                            0         0
  Square12                                           0         0
  SquareRoot0                                        0         0
  SquareRoot12                                       0         0
  SquareSL0                                          0         0
  SquareSL12                                         0         0
  SquareSS0                                          0         0
  SquareSS12                                         0         0
  SsInitHot                                          0         3
  StCdInterrupt2                                     0         1
  TransMatrix                                        0         0
  TransposeMatrix                                    0         0
  VSyncCallbacks                                     0         0
  VectorNormal                                       0         1
  VectorNormalS                                      0         0
  VectorNormalSS                                     0         1
  _SpuIsInAllocateArea                               0         0
  _addque                                            0         1
  _card_auto                                         0         0
  _card_clear                                        0         2
  _card_info                                         0         0
  _card_load                                         0         0
  _clr                                               0         2
  _ctl                                               0         0
  _cwb                                               0         0
  _drs                                               0         2
  _dws                                               0         2
  _getctl                                            0         0
  _otc                                               0         2
  _spu_FgetRXXa                                      0         0
  _spu_FiDMA                                         0         2
  _spu_FsetPCR                                       0         0
  _spu_r_                                            0         2
  _status                                            0         0
  _sync                                              0         3
  callback                                           0         1
  close                                              0         0
  csqrt                                              0         2
  def_cbread                                         0         1
  def_cbready                                        0         1
  def_cbsync                                         0         1
  delete                                             0         0
  firstfile                                          0         0
  format                                             0         0
  func_8003CE0C                                      0         0
  func_8003DCF8                                      0         0
  func_8003DDBC                                      0         0
  func_8003DDF4                                      0         0
  func_8003E2B0                                      0         1
  func_8003FA9C                                      0         0
  func_800418D8                                      0         8
  func_80041CD4                                      0         3
  func_800487F0                                      0         0
  func_80048BBC                                      0         0
  func_80048C58                                      0         0
  gteMIMefunc                                        0         0
  nextfile                                           0         0
  open                                               0         0
  ratan2                                             0         0
  rcos                                               0         0
  read                                               0         0
  restartIntr                                        0         2
  rsin                                               0         1
  setIntr                                            0         2
  setIntrDMA                                         0         0
  setIntrVSync                                       0         0
  startIntr                                          0         8
  stopIntr                                           0         2
  trapIntrDMA                                        0         1
  trapIntrVSync                                      0         0
  write                                              0         0

  [verified]  (1088 functions)
  Function                                  Dependents     Calls
  ----------------------------------------  ----------  --------
  func_800BEAD4                                    237         6
  func_800BF908                                     64         2
  func_800BEE10                                     63         2
  func_80034B44                                     47         0
  func_800BECA4                                     46         7
  func_8003B48C                                     40         0
  func_8003B51C                                     38         0
  func_800BF3AC                                     33         2
  AddPrim                                           31         0
  VSync                                             30         1
  func_80026A34                                     29         2
  func_800C0248                                     28         2
  func_8001AC9C                                     26         0
  func_80026F44                                     26         3
  printf                                            25         0
  func_80046794                                     23         0
  func_8002DA7C                                     22         2
  func_80044A68                                     21         0
  func_800A0B40                                     19         0
  func_800AA0E0                                     19         0
  func_80015248                                     18         8
  SetShadeTex                                       16         0
  func_800211C4                                     16         2
  func_800BC04C                                     16         4
  GetClut                                           14         0
  SetSemiTrans                                      14         0
  func_8001E040                                     14         6
  func_80028CA0                                     14         4
  func_8002FF4C                                     14         2
  func_80030038                                     14         2
  func_80030148                                     14         2
  func_800A2108                                     14         2
  func_800A7254                                     14         0
  DrawSync                                          13         0
  CdControl                                         12         1
  GetTPage                                          12         1
  func_800A993C                                     12         0
  func_80028E00                                     11         3
  func_800A9A44                                     11         0
  LoadImage                                         10         1
  func_8002A510                                     10         0
  func_800A6884                                     10         0
  func_8001B834                                      9         0
  func_800264A8                                      9         1
  func_800AE0BC                                      9         4
  PutDispEnv                                         8         3
  PutDrawEnv                                         8         2
  func_8001C808                                      8         1
  func_8002A094                                      8         4
  func_8002A6C4                                      8         0
  func_80034CAC                                      8         2
  func_80034D18                                      8         0
  func_800A91A4                                      8         0
  func_800ADFC0                                      8         1
  func_800BB9B8                                      8         0
  func_800C46A4                                      8         0
  func_800D9BF4                                      8         0
  func_800DA334                                      8         0
  func_800DA368                                      8         0
  CdControlB                                         7         2
  CdIntToPos                                         7         0
  ResetCallback                                      7         0
  func_8001964C                                      7         0
  func_8002A748                                      7         0
  func_800A8640                                      7         0
  func_800D4848                                      7         0
  StoreImage                                         6         1
  func_80025788                                      6         0
  func_80026A00                                      6         0
  func_800A90EC                                      6         0
  func_800A9240                                      6         0
  func_800AA098                                      6         0
  func_800ABA18                                      6         1
  func_800B63F0                                      6         0
  func_800D29D4                                      6         5
  func_800E6B94                                      6         0
  CdControlF                                         5         1
  ChangeClearPAD                                     5         0
  MoveImage                                          5         1
  func_80014A84                                      5         2
  func_80014B70                                      5         0
  func_8001C8D4                                      5         1
  func_800257CC                                      5         0
  func_80026090                                      5         3
  func_80026B70                                      5         0
  func_8002BCCC                                      5         0
  func_8002BD04                                      5         0
  func_8002BFCC                                      5         0
  func_8002C004                                      5         0
  func_800A1FAC                                      5         4
  func_800A2088                                      5         0
  func_800AB988                                      5         2
  func_800ADC80                                      5         0
  func_800AE47C                                      5         1
  func_800B0098                                      5         2
  func_800B7714                                      5         0
  func_800B79B8                                      5         0
  func_800D33FC                                      5         0
  func_800DA124                                      5         1
  DeliverEvent                                       4         0
  DrawOTag                                           4         0
  FlushCache                                         4         0
  SetDrawMode                                        4         2
  SetPolyFT4                                         4         0
  SetTile                                            4         0
  func_800155A4                                      4         0
  func_80017678                                      4         1
  func_80019608                                      4         0
  func_8001BD50                                      4         0
  func_8001C3CC                                      4         0
  func_8001CB48                                      4         1
  func_8001FA28                                      4         1
  func_80023050                                      4         0
  func_8002603C                                      4         0
  func_8002708C                                      4         3
  func_8002FDA0                                      4         0
  func_80033CB8                                      4         4
  func_800A1498                                      4         0
  func_800A19FC                                      4         2
  func_800A273C                                      4         0
  func_800A6B8C                                      4         0
  func_800A8A1C                                      4         2
  func_800A92F8                                      4         0
  func_800A98E4                                      4         0
  func_800A9D5C                                      4         1
  func_800AA238                                      4         0
  func_800AA7DC                                      4         0
  func_800AB6E4                                      4         1
  func_800B6EFC                                      4         5
  func_800BB9FC                                      4         0
  func_800C4C9C                                      4         0
  memcpy                                             4         0
  CdPosToInt                                         3         0
  CheckCallback                                      3         0
  ClearImage                                         3         1
  ClearOTag                                          3         0
  ClearOTagR                                         3         0
  DecDCTout                                          3         1
  GPU_memset                                         3         0
  GetGraphDebug                                      3         0
  SetDispMask                                        3         1
  SetDrawEnv                                         3         5
  SetPolyG4                                          3         0
  func_80012A8C                                      3         1
  func_800148A0                                      3         0
  func_80015AFC                                      3         0
  func_80015B44                                      3         0
  func_80015B50                                      3         0
  func_80015BC0                                      3         1
  func_800185A8                                      3         0
  func_8001C980                                      3         0
  func_800258BC                                      3         0
  func_80026C5C                                      3         4
  func_80027354                                      3         1
  func_800285AC                                      3         3
  func_80028930                                      3         3
  func_800294A4                                      3         0
  func_80029B78                                      3         0
  func_8002A798                                      3         0
  func_8002A7E8                                      3         1
  func_8002B1A8                                      3         0
  func_8003408C                                      3         4
  func_800A1D38                                      3         0
  func_800A1D54                                      3         0
  func_800A21A4                                      3         0
  func_800A2504                                      3        12
  func_800A32F4                                      3         0
  func_800A3354                                      3         0
  func_800A358C                                      3         4
  func_800A4134                                      3         0
  func_800A5EB0                                      3         0
  func_800A8DCC                                      3         0
  func_800A921C                                      3         0
  func_800A9C64                                      3         2
  func_800AA170                                      3         0
  func_800AA1B8                                      3         0
  func_800AA8F8                                      3         2
  func_800ABA68                                      3         1
  func_800ABB24                                      3        11
